company_name,identifier,country_name,country_iso,nace_code,nace_desc,name_forest500,permid,hq_country,forest500_score,iso2,flag_forest500,dat__1.1_score,dat_beef_leather_4.3_score,dat_palm_oil_4.3_score,dat_score,dat_soy_4.3_score,"dat_timber,_pulp_paper_4.3_score",sbti_long_term_target,sbti_near_term_target,spott_cert_standards_score,spott_community_land_labour_score,spott_def_biodiv_score,spott_gov_grievance_score,spott_hcv_hcs_score,spott_landbank_score,spott_palm_oil_1,spott_palm_oil_129,spott_palm_oil_130,spott_palm_oil_2,spott_palm_oil_55,spott_palm_oil_57,spott_parent_company,spott_rspo_member,spott_rubber_1,spott_rubber_130,spott_rubber_131,spott_rubber_2,spott_rubber_55,spott_rubber_57,spott_smallholders_suppliers_score,spott_soils_fire_score,spott_sust_policy_score,spott_timber_1,spott_timber_130,spott_timber_131,spott_timber_2,spott_timber_52,spott_timber_54,tnfd_early_adopter,wba_NAT.B01,wba_NAT.B02,wba_NAT.B03.ED,wba_NAT.B05.EA,wba_NAT.B05.EB,wba_NAT.B05.EC,wba_NAT.B05.EG,wba_NAT.B05.EJ,wba_NAT.B06,wba_NAT.C02,wba_NAT.C05,wba_NAT.C05.EA,wba_NAT.C07,wba_ma2:_ecosystems_and_biodiversity,wba_ma3:_social_inclusion_and_community_impact,tnfd_positive_flag,wba_positive_flag,sbti_positive_flag,spott_positive_flag,positive_flag,dt2_bucket,deforestation_policy_in_place,human_rights_policy_in_place,strength_deforestation_policy,strength_hr_policy
Erste Group Bank AG,8589934296,Austria,AT,64.19,Other monetary intermediation,,,,,,,0.0,0.5,0.5,2.228,0.5,0.5,Targets Set,Targets Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,low,0.0,1.0,,
Verbund AG,4295859071,Austria,AT,35.11,Production of electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,
Aristocrat Leisure Ltd,4295857388,Australia,AU,32.4,Manufacture of games and toys,,,,,,,,,,,,,Targets Set,Committed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,low,,,,
ANZ Group Holdings Ltd,5083687566,Australia,AU,64.19,Other monetary intermediation,australia and new zealand banking group limited (anz),5083687566,australia,28.475,au,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,
Aurizon Holdings Ltd,4296075611,Australia,AU,49.2,Freight rail transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,
Brambles Ltd,4295856631,Australia,AU,52.1,Warehousing and storage,,,,,,,,,,,,,,Targets Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,low,,,,
Cochlear Ltd,4295856963,Australia,AU,26.6,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,
Computershare Ltd,4295857695,Australia,AU,66.19,"Other activities auxiliary to financial services, except insurance and pension funding",,,,,,,,,,,,,,Committed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,low,,,,
CSL Ltd,4295856855,Australia,AU,21.2,Manufacture of pharmaceutical preparations,,,,,,,,,,,,,,Committed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,low,,,,
Fortescue Ltd,4295857514,Australia,AU,7.1,Mining of iron ores,,,,,,,,,,,,,,Targets Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,low,,,,
