cleaned_name,AmountUSDMillions,AmountUSDMillions_top95_winsorized,AmountUSDMillions_top99_winsorized,original_MinMax_Scaled_Value,winsorized_95_MinMax_Scaled_Value,winsorized_99_MinMax_Scaled_Value
1251 capital,0.003644944777555634,0.003644944777555634,0.003644944777555634,7.289402808272125e-08,2.682127287783199e-05,1.8416888039958732e-06
1741,0.37801973884580276,0.37801973884580276,0.37801973884580276,7.560066255888298e-06,0.0027817175886282824,0.00019100727106390825
1st source,0.0415193697163365,0.0415193697163365,0.0415193697163365,8.303497837553449e-07,0.0003055262374700624,2.0979028603100405e-05
3 banken,2.1199740690435562,2.1199740690435562,2.1199740690435562,4.239764690984846e-05,0.015600164883967595,0.0010711888707951227
3g radar,0.04073117,0.04073117,0.04073117,8.145864708410597e-07,0.0002997261448115403,2.058076392118191e-05
3k investment partners,0.00033899375083064635,0.00033899375083064635,0.00033899375083064635,6.777865600723543e-09,2.493907767039265e-06,1.7124474418776438e-07
44 wealth management,0.023394347646789555,0.023394347646789555,0.023394347646789555,4.678650117630925e-07,0.00017215038708311581,1.1820745493274953e-05
4j wealth management,0.0008288611760816158,0.0008288611760816158,0.0008288611760816158,1.6574790606783302e-08,6.098674931956997e-06,4.1876690165136507e-07
683 capital management,0.17861441274828926,0.17861441274828926,0.17861441274828926,3.5721321233311456e-06,0.0013143618613970461,9.025095623014967e-05
77 bank,5.737101593120849,5.737101593120849,5.737101593120849,0.0001147370703213661,0.04221737161787911,0.002898865426593649
8am global,0.1379266716183486,0.1379266716183486,0.1379266716183486,2.7584124759963934e-06,0.0010149546632867803,6.969209285677115e-05
a montag associates,0.00143640337827297,0.00143640337827297,0.00143640337827297,2.8725109419747302e-08,1.0569370611791586e-05,7.257482375904677e-07
a n culbertson mpany,0.007403795160546801,0.007403795160546801,0.007403795160546801,1.4806778615062532e-07,5.44813697530287e-05,3.740975648603253e-06
a p financial,13.99266,13.99266,13.99266,0.0002798411013842708,0.10296720787803082,0.007070266753984624
abaco capital,0.00047850733361407384,0.00047850733361407384,0.00047850733361407384,9.568016644458909e-09,3.520540599422593e-06,2.4173872118233344e-07
abalone,0.10474615127819896,0.10474615127819896,0.10474615127819896,2.0948307543337464e-06,0.000770790540359483,5.2926507808630684e-05
abanca,4.986653080569053,4.986653080569053,4.986653080569053,9.972874884619879e-05,0.036695077181538215,0.0025196758228003256
abbot financial management,0.2794245626126791,0.2794245626126791,0.2794245626126791,5.588247968480655e-06,0.0020561893424454387,0.00014118870898208836
aberforth partners,2.0584572723,2.0584572723,2.0584572723,4.1167364157324386e-05,0.01514748377564838,0.0010401054195074324
abn amro,771.5529412659342,135.8943319079846,771.5529412659342,0.015430391802585866,0.9999999999999999,0.3898533332777677
abradinvest gestao de recursos financeiros,0.55788746,0.55788746,0.55788746,1.115726518018042e-05,0.004105302750293296,0.0002818915473052587
abrdn,92.81458152427864,92.81458152427864,92.81458152427864,0.0018562113889396526,0.6829908223097797,0.04689772019431207
absa,1.2798653585221345,1.2798653585221345,1.2798653585221345,2.5596198988098433e-05,0.009418091656507154,0.0006466954062099014
absolute investimentos,10.542058239128021,10.542058239128021,10.542058239128021,0.0002108320492724237,0.07757540739155011,0.005326732996945854
abu dhabi investmentuncil,22.957298661088906,22.957298661088906,22.957298661088906,0.00045912612451908506,0.16893492368254562,0.01159995496735688
abundance wealthunselors,0.1052361333269012,0.1052361333269012,0.1052361333269012,2.1046299717097375e-06,0.0007743961509992516,5.317408788348681e-05
ac2 investimentos,0.13201798240839813,0.13201798240839813,0.13201798240839813,2.640243799962582e-06,0.000971474636336997,6.67065269145582e-05
acacia inversion,0.01280848065703707,0.01280848065703707,0.01280848065703707,2.56156823635261e-07,9.425260541842091e-05,6.471876593523464e-06
academy securities,3.760382436335115,3.760382436335115,3.760382436335115,7.520439609394625e-05,0.027671370101255546,0.0019000609232393687
acatis investment,3.238388593914902,3.238388593914902,3.238388593914902,6.476497051835133e-05,0.023830195598824388,0.0016363058021627399
accel wealth management,0.03457864738979066,0.03457864738979066,0.03457864738979066,6.915413376003113e-07,0.00025445183110240954,1.7471992870438148e-05
ace capital,1.8332659635551805,1.8332659635551805,1.8332659635551805,3.666373266425425e-05,0.013490377804227042,0.00092631986098818
achmea,0.976932348935738,0.976932348935738,0.976932348935738,1.9537800687257273e-05,0.007188911045921965,0.0004936282124454839
ackermans van haaren,230.24827678908787,135.8943319079846,230.24827678908787,0.004604766480401802,0.9999999999999999,0.11634076336606929
acomea,0.0821109007837713,0.0821109007837713,0.0821109007837713,1.642145313015262e-06,0.0006042254585718995,4.14892785741304e-05
acropolis investment management,0.08355489815555572,0.08355489815555572,0.08355489815555572,1.671024012089959e-06,0.0006148513423186484,4.2218907298989446e-05
actinver,0.03152402214340194,0.03152402214340194,0.03152402214340194,6.304514734495048e-07,0.0002319738866184106,1.592853969871202e-05
active niche funds,0.021668234092219827,0.021668234092219827,0.021668234092219827,4.3334423292706516e-07,0.0001594485066483337,1.0948567983542858e-05
active super,1.25850605653246,1.25850605653246,1.25850605653246,2.5169031413795206e-05,0.00926091584421775,0.0006359028933015523
activgest,0.14943719251105972,0.14943719251105972,0.14943719251105972,2.9886129428039213e-06,0.0010996566573903625,7.550817455159714e-05
adage capital partners,4.775935548872408,4.775935548872408,4.775935548872408,9.551458038125864e-05,0.03514447879475341,0.002413203631810616
adalta capital management,0.014090207673860669,0.014090207673860669,0.014090207673860669,2.8179025589630243e-07,0.00010368439701441565,7.119512709195016e-06
adcap asset management,0.0179881922874089,0.0179881922874089,0.0179881922874089,3.5974657829137124e-07,0.00013236833519845472,9.089101850197954e-06
addison capital,0.01937749256742679,0.01937749256742679,0.01937749256742679,3.875313828173304e-07,0.00014259172171788645,9.791093011375152e-06
adirondack trustmpany,0.00012496424293855984,0.00012496424293855984,0.00012496424293855984,2.4974604751359504e-09,9.189376779837931e-07,6.309906471707751e-08
aditya birla capital,0.08145818220759457,0.08145818220759457,0.08145818220759457,1.6290915057783561e-06,0.0005994223253769779,4.115947034058831e-05
administración nacional de la seguridad social anses,0.3958417886123512,0.3958417886123512,0.3958417886123512,7.916491843745436e-06,0.002912863969257837,0.000200012467125638
advanced portfolio management,0.12283184370644858,0.12283184370644858,0.12283184370644858,2.4565289675012155e-06,0.0009038769773413967,6.206491828115799e-05
advent capital management,0.019607934214219042,0.019607934214219042,0.019607934214219042,3.921400165323401e-07,0.00014428746313478247,9.907531481547488e-06
advice capital,0.0006649421687630757,0.0006649421687630757,0.0006649421687630757,1.329655217126218e-08,4.892450911274141e-06,3.359412548552139e-07
advisor os,0.019515249272238428,0.019515249272238428,0.019515249272238428,3.9028639782048174e-07,0.0001436054262849902,9.860699266093118e-06
advisor partners,0.22668428086101755,0.22668428086101755,0.22668428086101755,4.5334879283437185e-06,0.0016680916120656345,0.00011453989003332603
advisornet wealth management,0.11233437441051444,0.11233437441051444,0.11233437441051444,2.246588656828398e-06,0.0008266296841307312,5.676071531908856e-05
advisors asset management,0.8904520199913954,0.8904520199913954,0.8904520199913954,1.7808268872127816e-05,0.006552531825503014,0.00044993108849914496
advisors management,0.24268055978668318,0.24268055978668318,0.24268055978668318,4.853399677794036e-06,0.0017858027683086998,0.000122622553356044
advisory alpha,0.0396084581680677,0.0396084581680677,0.0396084581680677,7.921332048064348e-07,0.00029146449168091876,2.001347562944171e-05
advisory invest,0.011837092925607716,0.011837092925607716,0.011837092925607716,2.3672990878836275e-07,8.710449468853007e-05,5.981049944060329e-06
advisory services network,0.2407349858659995,0.2407349858659995,0.2407349858659995,4.814489881363056e-06,0.001771485953953045,0.0001216394860412377
ae wealth management,0.9851138144352021,0.9851138144352021,0.9851138144352021,1.970142292422649e-05,0.0072491156577682535,0.0004977621758144584
aegon,18.80426776281017,18.80426776281017,18.80426776281017,0.0003760690969213815,0.13837418694987927,0.009501495027040785
aeon life insurancempany,3.2151439579849654,3.2151439579849654,3.2151439579849654,6.430009789514704e-05,0.02365914625763218,0.0016245606602360517
aetna,1.001627168469753,1.001627168469753,1.001627168469753,2.0031675728834038e-05,0.0073706317932326895,0.0005061061089010445
afa försäkring,0.5994680576575906,0.5994680576575906,0.5994680576575906,1.198884118617808e-05,0.004411280174811669,0.0003029015567696764
affiliated managers,22.990498493176716,22.990498493176716,22.990498493176716,0.0004597900924590056,0.16917922991403184,0.011616730310321548
affin,287.11125335211386,135.8943319079846,287.11125335211386,0.005741976852624234,0.9999999999999999,0.1450727139167137
affinity investment advisors,0.09588197853267244,0.09588197853267244,0.09588197853267244,1.917554962655638e-06,0.0007055621189332935,4.8447583411935596e-05
afh financial,0.2891107431114744,0.2891107431114744,0.2891107431114744,5.7819632045840544e-06,0.0021274666383334744,0.00014608298071982505
afira investimentos,0.07013858277631965,0.07013858277631965,0.07013858277631965,1.4027093031446088e-06,0.0005161252571365734,3.543985819977804e-05
aflac,7.9222820476850035,7.9222820476850035,7.9222820476850035,0.00015843879028591527,0.0582973686660545,0.004003002082105916
afp habitat,134.98971521806516,134.98971521806516,134.98971521806516,0.0026996776016744274,0.993343234572114,0.06820813918747859
afp modelo,27.671165893800005,27.671165893800005,27.671165893800005,0.0005533993939526127,0.20362266355737607,0.013981796517322882
african development bank,6.300215399019831,6.300215399019831,6.300215399019831,0.00012599885961760856,0.04636113389514535,0.003183397806068047
african export import bank,1.2147027084045237,1.2147027084045237,1.2147027084045237,2.42930023199973e-05,0.008938581957729686,0.0006137697636548909
ag2r la mondiale,0.9249632283066478,0.9249632283066478,0.9249632283066478,1.849846320288948e-05,0.006806488027005333,0.00046736904885033716
agf management,0.8196190220387257,0.8196190220387257,0.8196190220387257,1.6391670149440412e-05,0.006031295972595149,0.00041414031007807066
agincourt capital management,1.07342999465401,1.07342999465401,1.07342999465401,2.146767017771971e-05,0.007899004281043447,0.0005423869259813104
agora investment sgr,0.0042843996543749764,0.0042843996543749764,0.0042843996543749764,8.568257279917947e-08,3.1526803036780474e-05,2.164795102868175e-06
agricultural bank of china,980.8247201118452,135.8943319079846,980.8247201118452,0.019615646460389945,0.9999999999999999,0.4955950085272446
agricultural bank of egypt,0.027351268865180387,0.027351268865180387,0.027351268865180387,5.470000153032873e-07,0.00020126801962403013,1.3820114355958193e-05
agricultural development bank of china,7.393661747223753,7.393661747223753,7.393661747223753,0.00014786684127818852,0.054407432320857825,0.003735898718002474
agência de fomento do estado da bahia desenbahia,11.910041252508883,11.910041252508883,11.910041252508883,0.00023819052689479225,0.08764192742250371,0.006017952885004574
agência de fomento do estado de mato grosso desenvolve mt,0.2289790504648491,0.2289790504648491,0.2289790504648491,4.579381336551879e-06,0.0016849780382547312,0.00011569940032926228
agência de fomento do estado denta catarina,6.673697719901568,6.673697719901568,6.673697719901568,0.00013346818315324263,0.04910946280536429,0.0033721124359330536
ahrens investment partners,0.02505135783197834,0.02505135783197834,0.02505135783197834,5.010037829525728e-07,0.00018434375941123627,1.2658006178177529e-05
aia,206.89923881919339,135.8943319079846,206.89923881919339,0.004137805906655741,0.9999999999999999,0.10454286876214272
aichi bank,5.4804986239457065,5.4804986239457065,5.4804986239457065,0.0001096052327756195,0.04032911795980201,0.0027692080595840807
aifm,0.0021751635186561882,0.0021751635186561882,0.0021751635186561882,4.3499673556345286e-08,1.6005654307199784e-05,1.0990318942902041e-06
aigen investment management,0.3756196807363668,0.3756196807363668,0.3756196807363668,7.512067168591805e-06,0.002764056380266945,0.00018979456017385215
ajo,0.05379587171693556,0.05379587171693556,0.05379587171693556,1.0758692105165625e-06,0.00039586482507697284,2.7182148273157453e-05
aka bank,11.297631770688016,11.297631770688016,11.297631770688016,0.00022594286669708639,0.08313541509333393,0.005708512190690584
akademikerpension,4.256662767133238,4.256662767133238,4.256662767133238,8.512957366688004e-05,0.031323327649033,0.002150823419077844
akbank,0.02591832004236842,0.02591832004236842,0.02591832004236842,5.183422776563755e-07,0.00019072343837771898,1.3096068285788021e-05
akfed,0.8467346594339885,0.8467346594339885,0.8467346594339885,1.6933959455402736e-05,0.0062308306921944,0.00042784140699350155
akita bank,13.916807579706104,13.916807579706104,13.916807579706104,0.0002783241185541373,0.10240903580950658,0.007031939741915263
akre capital management,1.570898157024851,1.570898157024851,1.570898157024851,3.1416603355206676e-05,0.01155970267589517,0.0007937496140726833
aktia bank,0.2678943603005074,0.2678943603005074,0.2678943603005074,5.357653890298847e-06,0.001971342519494349,0.0001353626825814997
alaethes wealth,0.20991931345856807,0.20991931345856807,0.20991931345856807,4.198203073902361e-06,0.0015447239397157035,0.00010606882074527274
alaska asset management,17.2761536,17.2761536,17.2761536,0.00034550813474660706,0.12712931645145467,0.008729363436058438
alaska permanent fund,0.3238234947898962,0.3238234947898962,0.3238234947898962,6.476188228371346e-06,0.002382905928648013,0.00016362277770171099
alaska retirement management board,0.8424537218167921,0.8424537218167921,0.8424537218167921,1.6848344404004277e-05,0.006199328733578505,0.00042567831783844564
albemarle asset management,0.00962597491898288,0.00962597491898288,0.00962597491898288,1.9250946020606747e-07,7.083363204859016e-05,4.8638074592676285e-06
alberta investment management aimco,0.8559740609235085,0.8559740609235085,0.8559740609235085,1.71187394975689e-05,0.006298820293862341,0.00043250992845966503
aldebaran financial,1.3625556303665465,1.3625556303665465,1.3625556303665465,2.7249932937799953e-05,0.010026581140473445,0.0006884774750578035
aldira,17.895,17.895,17.895,0.0003578845277430672,0.13168319586424612,0.009042056601945321
aldiracita,421.1836981218656,135.8943319079846,421.1836981218656,0.008423309840045095,0.9999999999999999,0.21281737109375817
alean capital,0.00735726980300771,0.00735726980300771,0.00735726980300771,1.471373192218291e-07,5.413900552844886e-05,3.717467131234618e-06
alerus financial,0.04352759988199931,0.04352759988199931,0.04352759988199931,8.705126509184878e-07,0.00032030411774464855,2.19937551141226e-05
alfa capital asset management,0.3393083709297398,0.3393083709297398,0.3393083709297398,6.785872364221878e-06,0.0024968538463588687,0.00017144703739447803
alfa mutual insurancempany,0.8997189677504981,0.8997189677504981,0.8997189677504981,1.79935998158714e-05,0.006620724130765825,0.00045461352865376517
algebris investments,0.1397515484477064,0.1397515484477064,0.1397515484477064,2.7949084349456035e-06,0.0010283833089476304,7.061417386609028e-05
algemeen burgerlijk pensioenfonds abp,77.87494467138232,77.87494467138232,77.87494467138232,0.001557431567459163,0.5730551343927376,0.03934896117311954
alger associates,0.04003718132046647,0.04003718132046647,0.04003718132046647,8.007072972157443e-07,0.0002946193190136718,2.0230102565968408e-05
algert global,0.1660473245573251,0.1660473245573251,0.1660473245573251,3.3208012239794716e-06,0.0012218849492075816,8.39010080161627e-05
alicanto capital,0.11329123006030481,0.11329123006030481,0.11329123006030481,2.2657249426057554e-06,0.0008336708582324041,5.724419914064703e-05
allaria fondos,0.00729054111903132,0.00729054111903132,0.00729054111903132,1.4580280323041604e-07,5.364797192107431e-05,3.6837501968740994e-06
allchurches trust,4.627185244095412,4.627185244095412,4.627185244095412,9.253970288295968e-05,0.0340498760781982,0.002338042487256236
allen,0.004009480770900498,0.004009480770900498,0.004009480770900498,8.018443280187453e-08,2.950376881755897e-05,2.0258829979650484e-06
alliance wealth advisors,0.0006569613069895184,0.0006569613069895184,0.0006569613069895184,1.3136941835385665e-08,4.833722473770203e-06,3.319086533332865e-07
allianz,61.84473807837003,61.84473807837003,61.84473807837003,0.0012368412939929739,0.45509431602696465,0.031249154743947738
allied professional insurancempany,0.0118125,0.0118125,0.0118125,2.3623807153722288e-07,8.692352374384123e-05,5.9686235329723796e-06
allspring global investments,23.69894929291479,23.69894929291479,23.69894929291479,0.00047395849598565594,0.1743924775178037,0.011974699143048365
allstate,3.028719325215491,3.028719325215491,3.028719325215491,6.057176640711419e-05,0.022287311021608965,0.001530363281662004
