nace_code,flag_direct,flag_indirect
01.11,1.0,0.0
01.12,1.0,0.0
01.13,1.0,0.0
01.14,1.0,0.0
01.15,1.0,0.0
01.16,1.0,0.0
01.19,1.0,0.0
01.21,1.0,0.0
01.22,1.0,0.0
01.23,1.0,0.0
01.24,1.0,0.0
01.25,1.0,0.0
01.26,1.0,0.0
01.27,1.0,0.0
01.28,1.0,0.0
01.29,1.0,0.0
01.30,1.0,0.0
01.41,1.0,0.0
01.42,1.0,0.0
01.43,1.0,0.0
01.44,1.0,0.0
01.45,1.0,0.0
01.46,1.0,0.0
01.47,1.0,0.0
01.49,1.0,0.0
01.50,1.0,0.0
01.61,1.0,0.0
01.62,1.0,0.0
01.63,1.0,0.0
01.64,1.0,0.0
01.70,0.0,1.0
02.10,1.0,1.0
02.20,1.0,1.0
02.30,1.0,0.0
02.40,1.0,1.0
03.11,1.0,0.0
03.12,1.0,0.0
03.21,1.0,0.0
03.22,1.0,0.0
05.10,1.0,0.0
05.20,1.0,0.0
06.10,1.0,0.0
06.20,1.0,0.0
07.10,1.0,0.0
07.21,1.0,0.0
07.29,1.0,0.0
08.11,0.0,0.0
08.12,0.0,0.0
08.91,0.0,0.0
08.92,1.0,0.0
08.93,1.0,0.0
08.99,1.0,0.0
09.10,1.0,0.0
09.90,1.0,0.0
10.11,0.0,1.0
10.12,0.0,1.0
10.13,0.0,1.0
10.20,0.0,1.0
10.31,0.0,1.0
10.32,0.0,1.0
10.39,0.0,1.0
10.41,0.0,1.0
10.42,0.0,1.0
10.51,0.0,1.0
10.52,0.0,1.0
10.61,0.0,1.0
10.62,0.0,1.0
10.71,0.0,1.0
10.72,0.0,1.0
10.73,0.0,1.0
10.81,0.0,1.0
10.82,0.0,1.0
10.83,0.0,1.0
10.84,0.0,1.0
10.85,0.0,1.0
10.86,0.0,1.0
10.89,0.0,1.0
10.91,1.0,0.0
10.92,0.0,1.0
11.01,0.0,0.0
11.02,0.0,0.0
11.03,0.0,0.0
11.04,0.0,0.0
11.05,0.0,0.0
11.06,0.0,0.0
11.07,0.0,0.0
12.00,1.0,0.0
12.0,1.0,0.0
13.10,0.0,1.0
13.20,0.0,1.0
13.30,0.0,1.0
13.91,0.0,1.0
13.92,0.0,1.0
13.93,0.0,1.0
13.94,0.0,1.0
13.95,0.0,1.0
13.96,0.0,1.0
13.99,0.0,1.0
14.11,0.0,1.0
14.12,0.0,1.0
14.13,0.0,1.0
14.14,0.0,1.0
14.19,0.0,1.0
14.20,0.0,1.0
14.31,0.0,1.0
14.39,0.0,1.0
15.11,0.0,1.0
15.12,0.0,1.0
15.20,0.0,1.0
16.10,1.0,1.0
16.21,1.0,1.0
16.22,1.0,1.0
16.23,0.0,0.0
16.24,0.0,0.0
16.29,0.0,0.0
17.11,1.0,1.0
17.12,1.0,1.0
17.21,0.0,0.0
17.22,0.0,1.0
17.23,1.0,1.0
17.24,1.0,1.0
17.29,1.0,1.0
18.11,0.0,0.0
18.12,0.0,0.0
18.13,0.0,0.0
18.14,0.0,0.0
18.1,0.0,0.0
18.20,0.0,0.0
19.10,1.0,0.0
19.20,0.0,0.0
20.11,0.0,0.0
20.12,0.0,0.0
20.13,0.0,0.0
20.14,0.0,0.0
20.15,0.0,0.0
20.16,0.0,0.0
20.17,0.0,0.0
20.20,0.0,0.0
